65: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1792, dm.dmPelsHeight: 1344
66: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1792, dm.dmPelsHeight: 1344
67: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1856, dm.dmPelsHeight: 1392
68: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1856, dm.dmPelsHeight: 1392
69: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1856, dm.dmPelsHeight: 1392
70: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1920, dm.dmPelsHeight: 1080
71: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1920, dm.dmPelsHeight: 1080
72: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1920, dm.dmPelsHeight: 1200
73: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1920, dm.dmPelsHeight: 1200
74: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1920, dm.dmPelsHeight: 1200
75: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1920, dm.dmPelsHeight: 1440
76: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1920, dm.dmPelsHeight: 1440
77: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 1920, dm.dmPelsHeight: 1440
78: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 2048, dm.dmPelsHeight: 1152
79: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 2048, dm.dmPelsHeight: 1152
80: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 2048, dm.dmPelsHeight: 1536
81: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 2048, dm.dmPelsHeight: 1536
82: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 2048, dm.dmPelsHeight: 1536
83: dm.dmBitsPerPel: 32, dm.dmPelsWidth: 3840, dm.dmPelsHeight: 2160
