"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:12:18.6381490 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 360,448, Length: 8,192"
"7:12:18.6381708 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 368,640, Length: 8,192"
"7:12:18.6381984 PM","openttd.exe","13340","ReadFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar.gz","SUCCESS","Offset: 98,304, Length: 8,192"
"7:12:18.6383155 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 376,832, Length: 8,192"
"7:12:18.6383368 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 385,024, Length: 8,192"
"7:12:18.6384896 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 393,216, Length: 8,192, Priority: Normal"
"7:12:18.6385615 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 401,408, Length: 8,192"
"7:12:18.6385930 PM","openttd.exe","13340","ReadFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar.gz","SUCCESS","Offset: 106,496, Length: 8,192"
"7:12:18.6387127 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 409,600, Length: 8,192"
"7:12:18.6387344 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 417,792, Length: 8,192"
"7:12:18.6388668 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 425,984, Length: 8,192"
"7:12:18.6388889 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 434,176, Length: 8,192"
"7:12:18.6389102 PM","openttd.exe","13340","ReadFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar.gz","SUCCESS","Offset: 114,688, Length: 8,192"
"7:12:18.6390324 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 442,368, Length: 8,192"
