new_map: 00000000
save: 00000000; 00; dmp_cmds_00000000_00000000.sav
load: opntitle.dat
load: opntitle.dat
load: C:\Users\Jon\Documents\OpenTTD\save\Jon, 14th Sep 1963.sav
load: C:\Users\Jon\Documents\OpenTTD\save\Jon, 14th Sep 1963.sav
cmd: 000af1ac; 1c; 03; 000000; 00000001; 00000170; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 1c; 04; 000000; 00000002; 000000c2; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 1d; 06; 000000; 000000c1; 00000000; 00000030; "active :s" (CmdRenameVehicle)
cmd: 000af1ac; 1d; 09; 03dae6; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 1e; 03; 000000; 00000001; 00000167; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 1e; 04; 000000; 00000002; 0000007a; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 1f; 06; 000000; 00000053; 00000000; 00000030; "active :p" (CmdRenameVehicle)
cmd: 000af1ac; 1f; 09; 03dae5; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 20; 03; 000000; 00000001; 00000155; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 20; 04; 000000; 00000002; 00000045; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 21; 06; 000000; 00000037; 00000003; 00000026; "" (CmdSkipToOrder)
cmd: 000af1ac; 21; 09; 03dae4; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 22; 03; 000000; 00000001; 0000013d; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 22; 04; 000000; 00000001; 00000000; 0000005f; "" (CmdCreateGroup)
cmd: 000af1ac; 23; 06; 000000; 00000037; 00000000; 0000005a; "" (CmdStartStopVehicle)
cmd: 000af1ac; 23; 09; 03d6e9; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 24; 03; 000000; 00000001; 000000a5; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 24; 04; 000000; 00000003; 00000000; 00000061; "CERE: Pinnington Transfer - Du" (CmdRenameGroup)
cmd: 000af1ac; 25; 06; 000000; 00000037; 00000000; 00000030; "active :O" (CmdRenameVehicle)
cmd: 000af1ac; 25; 09; 03d6e8; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 26; 03; 000000; 00000001; 00000046; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 26; 04; 000000; 00000003; 00000192; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 27; 06; 000000; 00000019; 00000000; 00000030; "active :o" (CmdRenameVehicle)
cmd: 000af1ac; 27; 09; 03d6e7; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 28; 03; 000000; 00000001; 00000000; 0000005f; "" (CmdCreateGroup)
cmd: 000af1ac; 28; 04; 000000; 00000003; 0000016d; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 29; 06; 0d4d3b; 000000d8; ffffffff; 0c4f001d; "" (CmdBuildVehicle)
cmd: 000af1ac; 29; 09; 03d6e6; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 2a; 03; 000000; 00000004; 00000000; 00000061; "COAL: Pruwood Woods - Sadborou" (CmdRenameGroup)
cmd: 000af1ac; 2a; 04; 000000; 00000003; 00000169; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 2b; 06; 000000; 00000080; 00000000; 0c3f001f; "" (CmdRefitVehicle)
cmd: 000af1ac; 2b; 09; 03d6e5; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 2c; 03; 000000; 00000004; 0000016f; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 2c; 04; 000000; 00000003; 00000165; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 2d; 06; 000000; 00000080; 00000000; 00000030; "active :3" (CmdRenameVehicle)
cmd: 000af1ac; 2d; 09; 03d6e4; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 2e; 03; 000000; 00000004; 0000012b; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 2e; 04; 000000; 00000003; 00000136; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 2f; 09; 03d2e9; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 30; 03; 000000; 00000004; 000000cc; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 30; 04; 000000; 00000003; 00000129; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 31; 06; 000000; 00000080; 00000154; 00000046; "" (CmdCloneOrder)
cmd: 000af1ac; 31; 09; 03d2e8; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 32; 03; 000000; 00000004; 00000067; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 32; 04; 000000; 00000003; 0000010d; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 33; 06; 000000; 00000080; 00000001; 00000026; "" (CmdSkipToOrder)
cmd: 000af1ac; 33; 09; 03d2e7; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 34; 03; 000000; 00000004; 00000044; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 34; 04; 000000; 00000003; 000000b2; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 35; 06; 000000; 00000080; 00000000; 0000005a; "" (CmdStartStopVehicle)
cmd: 000af1ac; 35; 09; 03d2e6; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 36; 03; 000000; 00000001; 00000000; 0000005f; "" (CmdCreateGroup)
cmd: 000af1ac; 36; 04; 000000; 00000001; 00000000; 0000005f; "" (CmdCreateGroup)
cmd: 000af1ac; 37; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1ac; 37; 09; 03d2e5; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 38; 03; 000000; 00000005; 00000000; 00000061; "WDPR: Dudworth East - Dudworth" (CmdRenameGroup)
cmd: 000af1ac; 38; 04; 000000; 00000006; 00000000; 00000061; "RFPR: Shorwood South - Shorwoo" (CmdRenameGroup)
cmd: 000af1ac; 39; 09; 03d2e4; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 3a; 03; 000000; 00000005; 00000191; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 3a; 04; 000000; 00000006; 00000148; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 3b; 09; 03cee9; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 3c; 03; 000000; 00000005; 0000018d; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 3c; 04; 000000; 00000006; 0000013f; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 3d; 09; 03cee8; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 3e; 03; 000000; 00000005; 00000050; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 3e; 04; 000000; 00000006; 00000110; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 3f; 09; 03cee7; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 40; 03; 000000; 00000003; 00000000; 0000005f; "" (CmdCreateGroup)
cmd: 000af1ac; 40; 04; 000000; 00000006; 000000b9; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 41; 09; 03cee6; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 42; 03; 000000; 00000007; 00000000; 00000061; "Small planes" (CmdRenameGroup)
cmd: 000af1ac; 42; 04; 000000; 00000006; 0000008d; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 43; 09; 03cee5; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 44; 03; 000000; 00000003; 00000000; 0000005f; "" (CmdCreateGroup)
cmd: 000af1ac; 44; 04; 000000; 00000006; 00000056; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 45; 09; 03cee4; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 46; 03; 000000; 00000008; 00000000; 00000061; "Big planes" (CmdRenameGroup)
cmd: 000af1ac; 46; 04; 000000; 00000006; 0000002d; 00000062; "" (CmdAddVehicleGroup)
cmd: 000af1ac; 47; 09; 03cae9; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ac; 48; 04; 000000; 00000003; 00000000; 0000005f; "" (CmdCreateGroup)
cmd: 000af1ac; 48; 09; 03cae8; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
