<planetmaker> krinn: random shot in the dark, but how does it perform when you start it with ./openttd -b 8bpp-optimized ?
29605 krinn     20   0  151m  63m  15m S  23,6  2,1   0:44.13 openttd           
29605 krinn     20   0  151m  63m  15m S  22,3  2,1   0:44.80 openttd           
29605 krinn     20   0  151m  63m  15m S  19,6  2,1   0:45.39 openttd           
29605 krinn     20   0  151m  63m  15m S  20,3  2,1   0:46.00 openttd           
29605 krinn     20   0  151m  63m  15m R  23,3  2,1   0:46.70 openttd           
29605 krinn     20   0  151m  63m  15m R  23,3  2,1   0:47.40 openttd           
29605 krinn     20   0  151m  63m  15m S  23,6  2,1   0:48.11 openttd           
29605 krinn     20   0  151m  63m  15m S  22,0  2,1   0:48.77 openttd           
29605 krinn     20   0  151m  63m  15m S  16,3  2,1   0:49.26 openttd           
29605 krinn     20   0  151m  64m  15m S  18,0  2,1   0:49.80 openttd           
29605 krinn     20   0  151m  64m  15m S  29,3  2,1   0:50.68 openttd           
29605 krinn     20   0  151m  64m  15m S  26,0  2,1   0:51.46 openttd           
29605 krinn     20   0  151m  64m  15m S  25,3  2,1   0:52.22 openttd           
29605 krinn     20   0  151m  64m  15m S  23,0  2,1   0:52.91 openttd           
29605 krinn     20   0  151m  64m  15m S  23,0  2,1   0:53.60 openttd           
29605 krinn     20   0  151m  64m  15m S  21,0  2,1   0:54.23 openttd           
29605 krinn     20   0  151m  64m  15m S  23,3  2,1   0:54.93 openttd           
29605 krinn     20   0  151m  64m  15m S  20,3  2,1   0:55.54 openttd           
29605 krinn     20   0  151m  64m  15m R  23,3  2,1   0:56.24 openttd           
29605 krinn     20   0  151m  64m  15m S  24,0  2,1   0:56.96 openttd           
29605 krinn     20   0  151m  64m  15m S  25,3  2,1   0:57.72 openttd           
29605 krinn     20   0  151m  64m  15m S  20,3  2,1   0:58.33 openttd           
29605 krinn     20   0  151m  64m  15m S  22,3  2,1   0:59.00 openttd           
29605 krinn     20   0  151m  64m  15m S  23,0  2,1   0:59.69 openttd           
29605 krinn     20   0  151m  64m  15m S  22,3  2,1   1:00.36 openttd           
29605 krinn     20   0  151m  64m  15m R  18,6  2,1   1:00.92 openttd           
29605 krinn     20   0  151m  64m  15m S  24,0  2,1   1:01.64 openttd           
29605 krinn     20   0  151m  64m  15m S  21,6  2,1   1:02.29 openttd           
29605 krinn     20   0  151m  64m  15m S  18,3  2,1   1:02.84 openttd           
29605 krinn     20   0  151m  64m  15m S  19,0  2,1   1:03.41 openttd           
29605 krinn     20   0  151m  64m  15m S  18,0  2,1   1:03.95 openttd           
29605 krinn     20   0  151m  64m  15m S  18,0  2,1   1:04.49 openttd           
29605 krinn     20   0  151m  64m  15m S  18,3  2,1   1:05.04 openttd           
29605 krinn     20   0  151m  64m  15m S  24,3  2,1   1:05.77 openttd           
29605 krinn     20   0  151m  64m  15m S  24,3  2,1   1:06.50 openttd           

